,Sale_Price,Longitude,Latitude,Neighborhood,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Bedroom_AbvGr,Bath_AbvGr,Branch_Number,Distance_m
55,216500,-93.641487,42.060977,Gilbert,7851,OneFam,Average,8,1960,TRUE,TRUE,Normal,2002,2002,4,3,Branch_1,5856.92378
56,185088,-93.642447,42.061193,Gilbert,8577,OneFam,Average,7,1733,TRUE,TRUE,Normal,2004,2004,3,3,Branch_1,5937.042528
57,180000,-93.641325,42.060936,Gilbert,7750,OneFam,Average,7,1430,TRUE,TRUE,Normal,2000,2000,3,3,Branch_1,5843.143185
58,222500,-93.641337,42.057103,Gilbert,9505,OneFam,Average,8,2035,TRUE,TRUE,Normal,2001,2001,3,3,Branch_1,5629.410821
59,333168,-93.651381,42.054386,Northridge,14774,OneFam,Average,10,2599,TRUE,TRUE,Normal,1999,1999,4,3,Branch_1,6252.193307
60,355000,-93.652334,42.053243,Northridge,17433,OneFam,Average,7,2475,TRUE,TRUE,Normal,1998,1998,4,3,Branch_1,6278.650048
61,260400,-93.654206,42.051721,Northridge,10593,OneFam,Average,7,1720,FALSE,TRUE,Normal,1996,1996,3,2,Branch_1,6366.361503
62,325000,-93.653616,42.051674,Northridge,12256,OneFam,Average,9,2622,TRUE,TRUE,Normal,1994,1995,3,3,Branch_1,6318.503074
63,290000,-93.650356,42.052457,Northridge,11764,OneFam,Good,9,2270,TRUE,TRUE,Normal,1999,2007,4,3,Branch_1,6094.542573
64,221000,-93.650578,42.052437,Northridge,16770,OneFam,Average,7,1839,TRUE,TRUE,Normal,1998,1998,4,3,Branch_1,6110.943461
65,410000,-93.652972,42.050909,Northridge,14720,OneFam,Average,9,3238,TRUE,TRUE,Normal,1995,1996,4,3,Branch_1,6240.561896
66,221500,-93.642368,42.05306,Somerset,8987,OneFam,Average,6,1595,FALSE,TRUE,Normal,2005,2006,2,2,Branch_1,5508.069632
67,204500,-93.649976,42.051827,Somerset,9215,OneFam,Average,4,1218,FALSE,TRUE,Partial,2009,2010,2,2,Branch_1,6040.552956
68,215200,-93.650318,42.051653,Somerset,8640,OneFam,Average,7,1547,TRUE,TRUE,Normal,2009,2009,3,3,Branch_1,6060.484785
69,262500,-93.647105,42.050084,Somerset,9000,OneFam,Average,7,1566,FALSE,TRUE,Normal,2008,2008,3,2,Branch_1,5751.39652
70,254900,-93.642773,42.052347,Somerset,12552,OneFam,Average,8,1947,TRUE,TRUE,Normal,2004,2005,3,3,Branch_1,5507.346983
71,271500,-93.642224,42.051429,Somerset,10440,OneFam,Average,6,1468,FALSE,TRUE,Normal,2005,2005,2,2,Branch_1,5426.232324
72,233000,-93.692309,42.036255,Sawyer_West,10142,OneFam,Average,8,2084,TRUE,TRUE,Normal,2004,2004,4,3,Branch_3,9179.308787
73,181000,-93.692412,42.036113,Sawyer_West,11920,OneFam,Average,8,1659,TRUE,TRUE,Normal,2004,2004,3,3,Branch_3,9187.229184
74,205000,-93.68981,42.036026,Sawyer_West,8880,OneFam,Average,8,2110,TRUE,TRUE,Normal,1994,2002,3,3,Branch_3,8971.562891
75,143000,-93.686417,42.03548,Sawyer_West,8012,TwnhsE,Average,5,923,FALSE,TRUE,Normal,1980,1980,2,2,Branch_3,8688.692217
76,189000,-93.687694,42.036659,Sawyer_West,11218,OneFam,Average,8,1845,TRUE,TRUE,Normal,1992,1992,3,3,Branch_3,8799.419576
77,99500,-93.686263,42.034589,Sawyer_West,7892,TwnhsE,Average,5,918,FALSE,TRUE,Normal,1979,1979,2,2,Branch_3,8673.396044
78,125000,-93.686264,42.0347,Sawyer_West,7175,TwnhsE,Average,4,752,FALSE,TRUE,Normal,1984,1984,2,1,Branch_3,8673.735041
79,194500,-93.68628,42.036633,Sawyer_West,9453,OneFam,Good,7,1744,TRUE,TRUE,Normal,1993,2003,3,3,Branch_3,8682.327053
80,152000,-93.685028,42.034555,Sawyer_West,9672,OneFam,Average,6,1097,FALSE,TRUE,Normal,1984,1985,3,2,Branch_3,8571.07572
81,171000,-93.685029,42.034678,Sawyer_West,8400,OneFam,Above_Average,7,1564,TRUE,TRUE,Normal,1980,1981,3,3,Branch_3,8571.441046
82,67500,-93.6790694,42.0360754,Sawyer_West,9800,OneFam,Average,5,1012,FALSE,TRUE,Normal,1920,1950,2,1,Branch_3,8083.110863
83,112000,-93.677205,42.036535,Sawyer,8930,Duplex,Average,8,1902,TRUE,TRUE,Normal,1978,1978,4,2,Branch_3,7931.223876
84,148000,-93.673669,42.034793,Sawyer,11782,OneFam,Good,6,1155,FALSE,TRUE,Normal,1961,1995,3,1,Branch_3,7631.333431
85,138500,-93.670956,42.035685,Sawyer,8450,OneFam,Very_Good,5,894,FALSE,TRUE,Normal,1965,2009,3,1,Branch_3,7410.072624
86,122000,-93.672096,42.034856,Sawyer,9819,OneFam,Average,5,900,FALSE,TRUE,Normal,1967,1967,3,1,Branch_3,7501.312857
87,133000,-93.672067,42.03457,Sawyer,7500,OneFam,Average,5,1040,FALSE,TRUE,Normal,1963,1963,3,2,Branch_3,7498.110888
88,127000,-93.669688,42.035333,Sawyer,6897,OneFam,Very_Good,6,1040,FALSE,TRUE,Normal,1962,2010,3,2,Branch_3,7303.675296
90,190000,-93.646749,42.048253,Northridge,10186,OneFam,Average,8,1923,TRUE,TRUE,Normal,1992,1992,3,3,Branch_1,5659.381228
91,362500,-93.651773,42.046825,Northridge,13143,OneFam,Average,9,2349,TRUE,TRUE,Normal,1993,1993,4,3,Branch_1,6015.051678
92,285000,-93.652773,42.045773,Northridge,11134,OneFam,Average,7,2225,TRUE,TRUE,Normal,1992,1993,4,3,Branch_1,6066.739912
93,260000,-93.647988,42.047452,Somerset,4835,TwnhsE,Average,6,1488,FALSE,TRUE,Normal,2004,2005,2,2,Branch_1,5731.766741
94,190000,-93.64614,42.048086,Somerset,3515,TwnhsE,Average,3,1680,TRUE,TRUE,Normal,2004,2004,2,3,Branch_1,5605.72258
95,155000,-93.645599,42.048566,Somerset,3215,TwnhsE,Average,4,1200,TRUE,TRUE,Normal,2004,2004,2,3,Branch_1,5579.300001
96,151000,-93.644889,42.047899,Somerset,3182,TwnhsE,Average,4,1200,TRUE,TRUE,Normal,2004,2005,2,3,Branch_1,5500.693904
97,149500,-93.644889,42.047876,Somerset,2544,Twnhs,Average,4,1200,TRUE,TRUE,Normal,2004,2005,2,3,Branch_1,5499.925416
98,152000,-93.64489,42.047782,Somerset,2544,Twnhs,Average,4,1236,TRUE,TRUE,Normal,2005,2005,2,3,Branch_1,5496.874872
99,222000,-93.6468879,42.0471748,Somerset,4403,OneFam,Average,7,1478,FALSE,TRUE,Partial,2009,2009,2,3,Branch_1,5635.712706
100,177500,-93.645606,42.046145,Somerset,2117,Twnhs,Average,5,1573,TRUE,TRUE,Normal,2000,2000,3,3,Branch_1,5502.425183
101,177000,-93.645585,42.046145,Somerset,2980,TwnhsE,Average,5,1512,TRUE,TRUE,Normal,2000,2000,2,3,Branch_1,5500.748997
102,155000,-93.645482,42.046424,Somerset,2572,Twnhs,Average,6,1416,TRUE,TRUE,Normal,1999,1999,3,3,Branch_1,5500.852453
103,147110,-93.645478,42.046114,Somerset,2403,TwnhsE,Average,4,1080,TRUE,TRUE,Normal,2003,2003,2,3,Branch_1,5491.294093
104,267916,-93.641253,42.0470316,Somerset,12853,OneFam,Average,6,1418,FALSE,TRUE,Partial,2010,2010,1,2,Branch_1,5184.632654
105,254000,-93.643556,42.04638,Somerset,7379,OneFam,Average,7,1848,TRUE,TRUE,Normal,2000,2000,3,3,Branch_1,5346.188703
106,155000,-93.649361,42.042565,Greens,4420,TwnhsE,Average,3,788,FALSE,TRUE,Normal,1980,1980,1,1,Branch_1,5715.606156
107,206000,-93.648143,42.043704,Greens,3880,Twnhs,Above_Average,4,1226,FALSE,TRUE,Normal,1978,1978,1,1,Branch_1,5641.868076
108,130500,-93.65921,42.034561,Sawyer,13517,OneFam,Very_Good,6,1479,TRUE,TRUE,Normal,1976,2005,3,3,Branch_3,6433.78202
109,230000,-93.639516,42.048606,Somerset,8000,OneFam,Average,6,1492,FALSE,TRUE,Normal,2002,2002,3,2,Branch_1,5104.423646
110,218500,-93.633351,42.046322,Northwest_Ames,10456,OneFam,Above_Average,8,1829,FALSE,TRUE,Normal,1967,1967,4,2,Branch_2,4538.655233
111,243500,-93.636879,42.043038,Northwest_Ames,10791,OneFam,Average,9,2495,TRUE,TRUE,Normal,1993,1993,4,3,Branch_2,4716.290797
112,205000,-93.637463,42.043306,Northwest_Ames,10603,OneFam,Good,6,1610,FALSE,TRUE,Normal,1977,2001,3,2,Branch_2,4770.34698
113,212500,-93.637531,42.043306,Northwest_Ames,18837,OneFam,Average,7,1891,TRUE,TRUE,Normal,1978,1978,3,3,Branch_2,4775.812297
114,196500,-93.637788,42.043329,Northwest_Ames,10421,OneFam,Average,7,1714,TRUE,TRUE,Normal,1988,1988,3,3,Branch_2,4797.082501
115,197500,-93.631435,42.043822,Northwest_Ames,9360,OneFam,Good,5,1381,FALSE,TRUE,Normal,1972,2006,3,2,Branch_2,4303.240656
116,171000,-93.632554,42.043821,Northwest_Ames,9600,OneFam,Above_Average,7,1645,TRUE,TRUE,Normal,1971,1971,4,3,Branch_2,4392.234762
117,142250,-93.626137,42.046574,North_Ames,9600,OneFam,Average,6,1232,FALSE,TRUE,Normal,1966,1966,3,2,Branch_2,3989.40428
118,143000,-93.625926,42.042205,Northwest_Ames,9790,OneFam,Average,6,1328,FALSE,TRUE,Normal,1963,1963,3,2,Branch_2,3815.352876
119,128950,-93.623383,42.043363,North_Ames,9320,OneFam,Average,6,1225,FALSE,FALSE,Normal,1959,1959,3,2,Branch_2,3651.532235
120,159000,-93.626939,42.039085,North_Ames,9900,OneFam,Average,6,1209,FALSE,TRUE,Normal,1966,1966,3,1,Branch_2,3819.763586
121,178900,-93.627536,42.038971,North_Ames,9680,OneFam,Above_Average,6,1510,FALSE,TRUE,Normal,1967,1967,3,2,Branch_2,3866.222424
123,180500,-93.627809,42.041146,North_Ames,14112,OneFam,Good,6,1152,FALSE,TRUE,Normal,1964,1964,3,1,Branch_2,3937.013893
126,142125,-93.622864,42.039211,North_Ames,9717,OneFam,Above_Average,5,1078,FALSE,TRUE,Normal,1950,1996,2,1,Branch_2,3490.969934
127,197600,-93.620651,42.039211,North_Ames,9724,OneFam,Good,7,2461,TRUE,TRUE,Normal,1952,2002,3,2,Branch_2,3311.568917
128,172500,-93.620504,42.038538,North_Ames,17360,OneFam,Above_Average,6,1556,TRUE,TRUE,Normal,1949,1950,3,2,Branch_2,3284.802526
129,116500,-93.629287,42.035256,Brookside,7207,OneFam,Good,4,858,FALSE,FALSE,Normal,1958,2008,2,1,Branch_2,3961.630212
130,76500,-93.629313,42.035482,Brookside,5350,OneFam,Poor,6,1306,FALSE,FALSE,Normal,1940,1966,3,1,Branch_2,3965.456149
131,128000,-93.62475,42.035943,North_Ames,9920,OneFam,Average,6,1063,FALSE,TRUE,Normal,1954,1954,3,1,Branch_2,3592.967156
132,153000,-93.624601,42.036095,North_Ames,9600,OneFam,Above_Average,7,1520,FALSE,TRUE,Normal,1955,1972,3,1,Branch_2,3582.271471
133,132000,-93.621431,42.037424,North_Ames,7800,OneFam,Above_Average,7,1268,FALSE,TRUE,Normal,1954,1954,2,1,Branch_2,3339.708612
134,178000,-93.618221,42.048494,North_Ames,11380,OneFam,Very_Good,5,1128,FALSE,TRUE,Normal,1966,2008,2,1,Branch_2,3492.02714
135,154300,-93.6184183,42.0459375,North_Ames,11600,Duplex,Average,12,2274,TRUE,TRUE,Normal,1960,1960,5,2,Branch_2,3375.755385
136,180000,-93.614307,42.049514,North_Ames,19900,OneFam,Average,7,2207,FALSE,TRUE,Normal,1970,1989,3,2,Branch_2,3276.322724
137,190000,-93.614244,42.047447,North_Ames,16492,OneFam,Above_Average,6,1888,FALSE,TRUE,Normal,1966,2002,2,3,Branch_2,3148.868879
138,135000,-93.617693,42.044895,North_Ames,8267,Duplex,Average,8,1604,FALSE,TRUE,Normal,1958,1958,4,2,Branch_2,3273.025212
139,214000,-93.617553,42.043984,North_Ames,8197,OneFam,Average,7,1480,FALSE,TRUE,Normal,2003,2009,3,2,Branch_2,3222.705238
140,136000,-93.617117,42.042908,North_Ames,8050,OneFam,Average,6,1143,FALSE,TRUE,Normal,1959,1959,3,1,Branch_2,3145.466974
141,165500,-93.6177041,42.0430839,North_Ames,10552,OneFam,Average,6,1700,FALSE,TRUE,Normal,1959,1959,4,2,Branch_2,3197.840703
142,145000,-93.618626,42.044847,North_Ames,8400,OneFam,Above_Average,5,1314,FALSE,TRUE,Normal,1957,1957,3,1,Branch_2,3341.713308
143,148000,-93.616582,42.043969,North_Ames,8760,OneFam,Above_Average,6,1194,FALSE,TRUE,Normal,1959,1959,3,1,Branch_2,3147.820617
145,167500,-93.613301,42.044176,North_Ames,9300,OneFam,Average,6,1264,FALSE,TRUE,Normal,1960,1960,3,1,Branch_2,2909.102477
146,108538,-93.61513,42.044883,North_Ames,10725,OneFam,Average,6,1206,FALSE,TRUE,Normal,1959,1959,3,1,Branch_2,3079.573923
147,159500,-93.614241,42.0435919,North_Ames,10032,OneFam,Average,6,1580,FALSE,TRUE,Normal,1959,1959,3,2,Branch_2,2953.150277
148,108000,-93.613624,42.042308,North_Ames,8382,OneFam,Average,5,1337,TRUE,TRUE,Normal,1956,1956,3,1,Branch_2,2851.521299
149,135000,-93.615622,42.040396,North_Ames,10950,OneFam,Good,4,1064,FALSE,TRUE,Normal,1952,1952,2,1,Branch_2,2939.804657
150,122500,-93.617092,42.04137,North_Ames,10895,OneFam,Above_Average,5,972,FALSE,TRUE,Normal,1955,1955,3,1,Branch_2,3087.744996
153,105000,-93.615475,42.038443,North_Ames,7898,OneFam,Good,4,985,FALSE,TRUE,Normal,1920,1994,2,1,Branch_2,2874.636848
154,107500,-93.611642,42.038521,North_Ames,7200,OneFam,Good,5,827,FALSE,TRUE,Normal,1955,2007,2,1,Branch_2,2567.355848
155,144900,-93.618788,42.038249,North_Ames,10200,OneFam,Good,6,1086,FALSE,TRUE,Normal,1954,2003,3,1,Branch_2,3139.21883
156,129000,-93.6192014,42.0381282,North_Ames,5868,OneFam,Good,4,936,FALSE,TRUE,Normal,1956,2000,2,1,Branch_2,3170.40768
158,144000,-93.6116762,42.0372097,Old_Town,6979,Duplex,Average,4,1056,FALSE,TRUE,Normal,1980,1980,0,0,Branch_2,2539.153974
159,162000,-93.607275,42.040085,North_Ames,9830,OneFam,Good,7,1287,FALSE,TRUE,Normal,1959,2006,3,1,Branch_2,2272.382921
160,242000,-93.606905,42.041119,North_Ames,11275,OneFam,Good,11,2978,TRUE,TRUE,Normal,1967,2007,5,3,Branch_2,2286.624907
161,132000,-93.61061,42.035867,North_Ames,8064,OneFam,Very_Good,5,1224,TRUE,TRUE,Normal,1948,2004,3,1,Branch_2,2428.280152
162,154000,-93.605969,42.03594,North_Ames,7500,OneFam,Good,6,1246,FALSE,TRUE,Normal,1959,1994,3,2,Branch_2,2049.275039
163,166000,-93.609218,42.0347571,North_Ames,8520,OneFam,Below_Average,6,1385,TRUE,TRUE,Normal,1952,1952,4,2,Branch_2,2300.221134
164,134800,-93.607801,42.034848,North_Ames,7200,OneFam,Good,5,900,FALSE,TRUE,Normal,1951,2000,3,1,Branch_2,2184.280501
165,160000,-93.605943,42.034748,North_Ames,10000,OneFam,Above_Average,5,1116,FALSE,TRUE,Normal,1962,1962,3,2,Branch_2,2030.072028
166,148000,-93.606742,42.034851,North_Ames,7635,OneFam,Above_Average,6,1175,FALSE,TRUE,Normal,1960,1960,3,2,Branch_2,2097.036937
167,192000,-93.604835,42.036873,North_Ames,9760,OneFam,Good,7,1395,FALSE,TRUE,Normal,1963,1984,2,1,Branch_2,1976.728783
168,155000,-93.603705,42.037093,North_Ames,7700,OneFam,Average,7,1839,TRUE,TRUE,Normal,1966,1966,4,2,Branch_2,1891.302421
170,96500,-93.617135,42.032134,Old_Town,8800,OneFam,Good,7,1140,TRUE,FALSE,Normal,1910,2004,3,1,Branch_2,2948.797264
171,109500,-93.62024,42.031363,Old_Town,4485,OneFam,Good,5,936,FALSE,FALSE,Normal,1920,1950,2,1,Branch_2,3209.452834
172,115000,-93.620241,42.031381,Old_Town,8960,OneFam,Above_Average,5,1028,FALSE,TRUE,Normal,1927,1950,2,1,Branch_2,3209.424216
173,143000,-93.6179112,42.0303783,Old_Town,5805,OneFam,Good,6,1347,FALSE,TRUE,Normal,1957,1957,3,1,Branch_2,3025.407427
174,107400,-93.614002,42.033279,Old_Town,5790,OneFam,Above_Average,8,1605,TRUE,TRUE,Normal,1915,1950,3,2,Branch_2,2688.0711
175,80000,-93.615431,42.033644,Old_Town,4608,OneFam,Above_Average,4,747,FALSE,TRUE,Normal,1945,1950,2,1,Branch_2,2807.168521
177,130000,-93.608954,42.03128,Old_Town,5500,OneFam,Good,6,1316,FALSE,TRUE,Normal,1929,2001,3,1,Branch_2,2277.664799
178,119000,-93.6090761,42.0303113,Old_Town,6900,OneFam,Good,6,1251,TRUE,TRUE,Normal,1938,2000,3,1,Branch_2,2299.110165
179,129000,-93.610466,42.030383,Old_Town,11851,OneFam,Good,7,1633,TRUE,TRUE,Normal,1948,2009,3,1,Branch_2,2412.332096
180,100000,-93.610468,42.030467,Old_Town,8239,OneFam,Above_Average,6,1245,TRUE,TRUE,Normal,1920,1962,3,1,Branch_2,2411.399737
182,105900,-93.606789,42.030331,Old_Town,8520,OneFam,Very_Good,5,720,FALSE,TRUE,Normal,1928,2003,2,1,Branch_2,2111.124549
184,139000,-93.610588,42.029146,Old_Town,10800,OneFam,Above_Average,7,1652,TRUE,TRUE,Normal,1915,1950,4,2,Branch_2,2442.522776
185,240000,-93.61221,42.028145,Old_Town,9000,OneFam,Excellent,7,2268,TRUE,TRUE,Normal,1890,2002,3,3,Branch_2,2595.59355
187,149700,-93.608246,42.03005,Old_Town,7407,OneFam,Good,6,1236,FALSE,TRUE,Normal,1957,1996,2,1,Branch_2,2234.995754
188,125500,-93.607238,42.028164,Old_Town,7740,OneFam,Good,6,1363,TRUE,TRUE,Normal,1910,1950,3,1,Branch_2,2193.878919
189,122500,-93.608752,42.02916,Old_Town,11340,TwoFmCon,Above_Average,11,2290,TRUE,TRUE,Normal,1885,1950,4,2,Branch_2,2292.668823
190,140750,-93.607088,42.028165,Old_Town,10560,OneFam,Good,6,1470,TRUE,TRUE,Normal,1922,1994,2,2,Branch_2,2181.8061
191,128500,-93.625737,42.033642,Brookside,5830,OneFam,Above_Average,7,1612,TRUE,TRUE,Normal,1950,1997,3,2,Branch_2,3660.348528
192,209500,-93.625825,42.030187,Brookside,7793,OneFam,Good,8,2068,TRUE,TRUE,Normal,1922,2005,3,2,Branch_2,3680.026091
193,87000,-93.625586,42.033621,Brookside,5000,OneFam,Good,4,765,FALSE,TRUE,Normal,1925,1950,2,1,Branch_2,3647.801069
195,128000,-93.622597,42.0336,Brookside,6000,OneFam,Above_Average,6,1196,TRUE,TRUE,Normal,1940,1950,3,2,Branch_2,3400.29289
196,132000,-93.623523,42.033665,Brookside,6360,OneFam,Above_Average,7,1453,TRUE,TRUE,Normal,1942,1950,3,2,Branch_2,3477.10712
