Sale_Price,Longitude,Latitude,Lot_Area,Bldg_Type,Overall_Cond,TotRms_AbvGrd,Gr_Liv_Area,Second_Flr_SF,Garage_Type,Sale_Condition,Year_Built,Year_Remod_Add,Distance_m,Neighborhood
212000,-93.632913,42.059169,6820,TwnhsE,Average,4,1502,FALSE,TRUE,Normal,1985,1985,5153.006314,Stone_Brook
538000,-93.62655,42.061239,53504,OneFam,Average,12,3279,TRUE,TRUE,Normal,2003,2003,4872.417494,Stone_Brook
164000,-93.6235954,42.0603514,12134,OneFam,Good,8,1752,TRUE,TRUE,Normal,1988,2005,4622.579101,Gilbert
394432,-93.628804,42.05885,11394,OneFam,Poor,8,1856,FALSE,TRUE,Partial,2010,2010,4854.968995,Stone_Brook
141000,-93.622971,42.056673,19138,OneFam,Average,4,864,FALSE,TRUE,Normal,1951,1951,4323.618487,Gilbert
210000,-93.636655,42.054453,13175,OneFam,Above_Average,7,2073,FALSE,TRUE,Normal,1978,1988,5149.011588,Northwest_Ames
190000,-93.633962,42.050346,11751,OneFam,Above_Average,7,1844,FALSE,TRUE,Normal,1977,1977,4749.728178,Northwest_Ames
216000,-93.639366,42.049297,7500,OneFam,Average,7,1674,TRUE,TRUE,Normal,2000,2000,5119.398331,Northwest_Ames
149000,-93.626231,42.055147,11241,OneFam,Good,5,1004,FALSE,TRUE,Normal,1970,1970,4444.628577,Somerset
149900,-93.626537,42.054592,12537,OneFam,Above_Average,6,1078,FALSE,TRUE,Normal,1971,2008,4432.054508,North_Ames
142000,-93.628806,42.055227,8450,OneFam,Above_Average,6,1056,FALSE,TRUE,Normal,1968,1968,4628.34572,North_Ames
126000,-93.627112,42.053395,8400,OneFam,Average,4,882,FALSE,TRUE,Normal,1970,1970,4402.215422,North_Ames
115000,-93.622769,42.056375,10500,OneFam,Average,5,864,FALSE,FALSE,Normal,1971,1971,4290.235348,North_Ames
184000,-93.624373,42.055318,5858,TwnhsE,Average,5,1337,FALSE,TRUE,Normal,1999,1999,4328.274814,North_Ames
96000,-93.627271,42.051835,1680,Twnhs,Average,5,987,TRUE,TRUE,Normal,1971,1971,4327.045151,North_Ames
105500,-93.627536,42.051684,1680,Twnhs,Average,6,1092,TRUE,TRUE,Normal,1971,1971,4338.200335,Briardale
127500,-93.627232,42.049672,4043,TwnhsE,Average,4,1069,FALSE,TRUE,Normal,1977,1977,4213.126972,Briardale
149900,-93.625924,42.050683,2280,Twnhs,Above_Average,6,1456,TRUE,TRUE,Normal,1975,1975,4167.942942,Briardale
120000,-93.625966,42.050681,2280,Twnhs,Above_Average,4,836,FALSE,TRUE,Normal,1975,1975,4170.904388,Northpark_Villa
146000,-93.625848,42.049811,2280,Twnhs,Average,7,1456,TRUE,TRUE,Normal,1978,1978,4117.532225,Northpark_Villa
376162,-93.653201,42.062352,12858,OneFam,Average,10,2334,TRUE,TRUE,Partial,2009,2010,6770.706935,Northpark_Villa
306000,-93.654645,42.062109,11478,OneFam,Average,7,1704,FALSE,TRUE,Normal,2007,2008,6862.937031,Northpark_Villa
395192,-93.6537329,42.0611331,10159,OneFam,Average,8,1940,FALSE,TRUE,Partial,2009,2010,6745.540727,Northridge_Heights
290941,-93.6528306,42.0612885,12883,OneFam,Average,7,1544,FALSE,TRUE,Partial,2009,2010,6687.538743,Northridge_Heights
220000,-93.652713,42.060872,12182,OneFam,Average,7,1541,FALSE,TRUE,Partial,2005,2005,6657.305927,Northridge_Heights
275000,-93.65332,42.0608079,11520,OneFam,Average,7,1698,FALSE,TRUE,Normal,2005,2005,6698.537939,Northridge_Heights
259000,-93.652336,42.060879,14122,OneFam,Average,8,1822,FALSE,TRUE,Normal,2005,2006,6630.060535,Northridge_Heights
214000,-93.652307,42.060298,10171,OneFam,Average,7,1535,FALSE,TRUE,Normal,2004,2004,6598.029376,Northridge_Heights
611657,-93.655051,42.059617,12919,OneFam,Average,11,2364,FALSE,TRUE,Partial,2009,2010,6767.158267,Northridge_Heights
224000,-93.650436,42.058388,6371,TwnhsE,Average,6,1358,FALSE,TRUE,Partial,2009,2010,6364.056778,Northridge_Heights
500000,-93.656067,42.058599,14300,OneFam,Average,10,2696,FALSE,TRUE,Normal,2003,2004,6794.811591,Northridge_Heights
320000,-93.654853,42.057102,13650,OneFam,Average,7,2250,TRUE,TRUE,Normal,2002,2002,6634.85241,Northridge_Heights
319900,-93.654121,42.057164,7658,TwnhsE,Average,6,1752,FALSE,TRUE,Normal,2005,2005,6582.263426,Northridge_Heights
205000,-93.649447,42.058252,7132,TwnhsE,Average,6,1370,FALSE,TRUE,Normal,2006,2006,6284.017755,Northridge_Heights
175500,-93.651013,42.057181,2628,Twnhs,Average,6,1626,TRUE,TRUE,Normal,2003,2003,6349.027265,Northridge_Heights
199500,-93.644356,42.061928,18494,OneFam,Average,6,1324,FALSE,TRUE,Normal,2005,2005,6114.359276,Northridge_Heights
160000,-93.641635,42.06257,3203,TwnhsE,Average,6,1145,FALSE,TRUE,Normal,2006,2006,5962.946807,Northridge_Heights
192000,-93.642252,42.062303,3182,TwnhsE,Average,6,1269,FALSE,TRUE,Normal,2004,2005,5989.456618,Gilbert
184500,-93.644076,42.061443,13300,OneFam,Average,7,1374,TRUE,TRUE,Normal,2004,2004,6066.418717,Bloomington_Heights
216500,-93.641487,42.060977,7851,OneFam,Average,8,1960,TRUE,TRUE,Normal,2002,2002,5856.92378,Bloomington_Heights
185088,-93.642447,42.061193,8577,OneFam,Average,7,1733,TRUE,TRUE,Normal,2004,2004,5937.042528,Gilbert
180000,-93.641325,42.060936,7750,OneFam,Average,7,1430,TRUE,TRUE,Normal,2000,2000,5843.143185,Gilbert
222500,-93.641337,42.057103,9505,OneFam,Average,8,2035,TRUE,TRUE,Normal,2001,2001,5629.410821,Gilbert
333168,-93.651381,42.054386,14774,OneFam,Average,10,2599,TRUE,TRUE,Normal,1999,1999,6252.193307,Gilbert
355000,-93.652334,42.053243,17433,OneFam,Average,7,2475,TRUE,TRUE,Normal,1998,1998,6278.650048,Gilbert
260400,-93.654206,42.051721,10593,OneFam,Average,7,1720,FALSE,TRUE,Normal,1996,1996,6366.361503,Northridge
325000,-93.653616,42.051674,12256,OneFam,Average,9,2622,TRUE,TRUE,Normal,1994,1995,6318.503074,Northridge
290000,-93.650356,42.052457,11764,OneFam,Good,9,2270,TRUE,TRUE,Normal,1999,2007,6094.542573,Northridge
221000,-93.650578,42.052437,16770,OneFam,Average,7,1839,TRUE,TRUE,Normal,1998,1998,6110.943461,Northridge
410000,-93.652972,42.050909,14720,OneFam,Average,9,3238,TRUE,TRUE,Normal,1995,1996,6240.561896,Northridge
221500,-93.642368,42.05306,8987,OneFam,Average,6,1595,FALSE,TRUE,Normal,2005,2006,5508.069632,Northridge
204500,-93.649976,42.051827,9215,OneFam,Average,4,1218,FALSE,TRUE,Partial,2009,2010,6040.552956,Northridge
215200,-93.650318,42.051653,8640,OneFam,Average,7,1547,TRUE,TRUE,Normal,2009,2009,6060.484785,Somerset
262500,-93.647105,42.050084,9000,OneFam,Average,7,1566,FALSE,TRUE,Normal,2008,2008,5751.39652,Somerset
254900,-93.642773,42.052347,12552,OneFam,Average,8,1947,TRUE,TRUE,Normal,2004,2005,5507.346983,Somerset
271500,-93.642224,42.051429,10440,OneFam,Average,6,1468,FALSE,TRUE,Normal,2005,2005,5426.232324,Somerset
233000,-93.692309,42.036255,10142,OneFam,Average,8,2084,TRUE,TRUE,Normal,2004,2004,9179.308787,Somerset
181000,-93.692412,42.036113,11920,OneFam,Average,8,1659,TRUE,TRUE,Normal,2004,2004,9187.229184,Somerset
205000,-93.68981,42.036026,8880,OneFam,Average,8,2110,TRUE,TRUE,Normal,1994,2002,8971.562891,Sawyer_West
143000,-93.686417,42.03548,8012,TwnhsE,Average,5,923,FALSE,TRUE,Normal,1980,1980,8688.692217,Sawyer_West
189000,-93.687694,42.036659,11218,OneFam,Average,8,1845,TRUE,TRUE,Normal,1992,1992,8799.419576,Sawyer_West
99500,-93.686263,42.034589,7892,TwnhsE,Average,5,918,FALSE,TRUE,Normal,1979,1979,8673.396044,Sawyer_West
125000,-93.686264,42.0347,7175,TwnhsE,Average,4,752,FALSE,TRUE,Normal,1984,1984,8673.735041,Sawyer_West
194500,-93.68628,42.036633,9453,OneFam,Good,7,1744,TRUE,TRUE,Normal,1993,2003,8682.327053,Sawyer_West
152000,-93.685028,42.034555,9672,OneFam,Average,6,1097,FALSE,TRUE,Normal,1984,1985,8571.07572,Sawyer_West
171000,-93.685029,42.034678,8400,OneFam,Above_Average,7,1564,TRUE,TRUE,Normal,1980,1981,8571.441046,Sawyer_West
67500,-93.6790694,42.0360754,9800,OneFam,Average,5,1012,FALSE,TRUE,Normal,1920,1950,8083.110863,Sawyer_West
112000,-93.677205,42.036535,8930,Duplex,Average,8,1902,TRUE,TRUE,Normal,1978,1978,7931.223876,Sawyer_West
148000,-93.673669,42.034793,11782,OneFam,Good,6,1155,FALSE,TRUE,Normal,1961,1995,7631.333431,Sawyer_West
138500,-93.670956,42.035685,8450,OneFam,Very_Good,5,894,FALSE,TRUE,Normal,1965,2009,7410.072624,Sawyer
122000,-93.672096,42.034856,9819,OneFam,Average,5,900,FALSE,TRUE,Normal,1967,1967,7501.312857,Sawyer
133000,-93.672067,42.03457,7500,OneFam,Average,5,1040,FALSE,TRUE,Normal,1963,1963,7498.110888,Sawyer
127000,-93.669688,42.035333,6897,OneFam,Very_Good,6,1040,FALSE,TRUE,Normal,1962,2010,7303.675296,Sawyer
190000,-93.646749,42.048253,10186,OneFam,Average,8,1923,TRUE,TRUE,Normal,1992,1992,5659.381228,Sawyer
362500,-93.651773,42.046825,13143,OneFam,Average,9,2349,TRUE,TRUE,Normal,1993,1993,6015.051678,Sawyer
285000,-93.652773,42.045773,11134,OneFam,Average,7,2225,TRUE,TRUE,Normal,1992,1993,6066.739912,Sawyer
260000,-93.647988,42.047452,4835,TwnhsE,Average,6,1488,FALSE,TRUE,Normal,2004,2005,5731.766741,Northridge
190000,-93.64614,42.048086,3515,TwnhsE,Average,3,1680,TRUE,TRUE,Normal,2004,2004,5605.72258,Northridge
155000,-93.645599,42.048566,3215,TwnhsE,Average,4,1200,TRUE,TRUE,Normal,2004,2004,5579.300001,Northridge
151000,-93.644889,42.047899,3182,TwnhsE,Average,4,1200,TRUE,TRUE,Normal,2004,2005,5500.693904,Somerset
149500,-93.644889,42.047876,2544,Twnhs,Average,4,1200,TRUE,TRUE,Normal,2004,2005,5499.925416,Somerset
152000,-93.64489,42.047782,2544,Twnhs,Average,4,1236,TRUE,TRUE,Normal,2005,2005,5496.874872,Somerset
222000,-93.6468879,42.0471748,4403,OneFam,Average,7,1478,FALSE,TRUE,Partial,2009,2009,5635.712706,Somerset
177500,-93.645606,42.046145,2117,Twnhs,Average,5,1573,TRUE,TRUE,Normal,2000,2000,5502.425183,Somerset
177000,-93.645585,42.046145,2980,TwnhsE,Average,5,1512,TRUE,TRUE,Normal,2000,2000,5500.748997,Somerset
155000,-93.645482,42.046424,2572,Twnhs,Average,6,1416,TRUE,TRUE,Normal,1999,1999,5500.852453,Somerset
147110,-93.645478,42.046114,2403,TwnhsE,Average,4,1080,TRUE,TRUE,Normal,2003,2003,5491.294093,Somerset
267916,-93.641253,42.0470316,12853,OneFam,Average,6,1418,FALSE,TRUE,Partial,2010,2010,5184.632654,Somerset
254000,-93.643556,42.04638,7379,OneFam,Average,7,1848,TRUE,TRUE,Normal,2000,2000,5346.188703,Somerset
155000,-93.649361,42.042565,4420,TwnhsE,Average,3,788,FALSE,TRUE,Normal,1980,1980,5715.606156,Somerset
206000,-93.648143,42.043704,3880,Twnhs,Above_Average,4,1226,FALSE,TRUE,Normal,1978,1978,5641.868076,Somerset
130500,-93.65921,42.034561,13517,OneFam,Very_Good,6,1479,TRUE,TRUE,Normal,1976,2005,6433.78202,Somerset
230000,-93.639516,42.048606,8000,OneFam,Average,6,1492,FALSE,TRUE,Normal,2002,2002,5104.423646,Greens
218500,-93.633351,42.046322,10456,OneFam,Above_Average,8,1829,FALSE,TRUE,Normal,1967,1967,4538.655233,Greens
243500,-93.636879,42.043038,10791,OneFam,Average,9,2495,TRUE,TRUE,Normal,1993,1993,4716.290797,Sawyer
205000,-93.637463,42.043306,10603,OneFam,Good,6,1610,FALSE,TRUE,Normal,1977,2001,4770.34698,Somerset
212500,-93.637531,42.043306,18837,OneFam,Average,7,1891,TRUE,TRUE,Normal,1978,1978,4775.812297,Northwest_Ames
196500,-93.637788,42.043329,10421,OneFam,Average,7,1714,TRUE,TRUE,Normal,1988,1988,4797.082501,Northwest_Ames
197500,-93.631435,42.043822,9360,OneFam,Good,5,1381,FALSE,TRUE,Normal,1972,2006,4303.240656,Northwest_Ames
171000,-93.632554,42.043821,9600,OneFam,Above_Average,7,1645,TRUE,TRUE,Normal,1971,1971,4392.234762,Northwest_Ames
142250,-93.626137,42.046574,9600,OneFam,Average,6,1232,FALSE,TRUE,Normal,1966,1966,3989.40428,Northwest_Ames
143000,-93.625926,42.042205,9790,OneFam,Average,6,1328,FALSE,TRUE,Normal,1963,1963,3815.352876,Northwest_Ames
128950,-93.623383,42.043363,9320,OneFam,Average,6,1225,FALSE,FALSE,Normal,1959,1959,3651.532235,Northwest_Ames
159000,-93.626939,42.039085,9900,OneFam,Average,6,1209,FALSE,TRUE,Normal,1966,1966,3819.763586,North_Ames
178900,-93.627536,42.038971,9680,OneFam,Above_Average,6,1510,FALSE,TRUE,Normal,1967,1967,3866.222424,Northwest_Ames
180500,-93.627809,42.041146,14112,OneFam,Good,6,1152,FALSE,TRUE,Normal,1964,1964,3937.013893,North_Ames
142125,-93.622864,42.039211,9717,OneFam,Above_Average,5,1078,FALSE,TRUE,Normal,1950,1996,3490.969934,North_Ames
197600,-93.620651,42.039211,9724,OneFam,Good,7,2461,TRUE,TRUE,Normal,1952,2002,3311.568917,North_Ames
172500,-93.620504,42.038538,17360,OneFam,Above_Average,6,1556,TRUE,TRUE,Normal,1949,1950,3284.802526,North_Ames
116500,-93.629287,42.035256,7207,OneFam,Good,4,858,FALSE,FALSE,Normal,1958,2008,3961.630212,North_Ames
76500,-93.629313,42.035482,5350,OneFam,Poor,6,1306,FALSE,FALSE,Normal,1940,1966,3965.456149,North_Ames
128000,-93.62475,42.035943,9920,OneFam,Average,6,1063,FALSE,TRUE,Normal,1954,1954,3592.967156,North_Ames
153000,-93.624601,42.036095,9600,OneFam,Above_Average,7,1520,FALSE,TRUE,Normal,1955,1972,3582.271471,North_Ames
132000,-93.621431,42.037424,7800,OneFam,Above_Average,7,1268,FALSE,TRUE,Normal,1954,1954,3339.708612,North_Ames
178000,-93.618221,42.048494,11380,OneFam,Very_Good,5,1128,FALSE,TRUE,Normal,1966,2008,3492.02714,North_Ames
154300,-93.6184183,42.0459375,11600,Duplex,Average,12,2274,TRUE,TRUE,Normal,1960,1960,3375.755385,Brookside
180000,-93.614307,42.049514,19900,OneFam,Average,7,2207,FALSE,TRUE,Normal,1970,1989,3276.322724,Brookside
190000,-93.614244,42.047447,16492,OneFam,Above_Average,6,1888,FALSE,TRUE,Normal,1966,2002,3148.868879,North_Ames
135000,-93.617693,42.044895,8267,Duplex,Average,8,1604,FALSE,TRUE,Normal,1958,1958,3273.025212,North_Ames
214000,-93.617553,42.043984,8197,OneFam,Average,7,1480,FALSE,TRUE,Normal,2003,2009,3222.705238,North_Ames
136000,-93.617117,42.042908,8050,OneFam,Average,6,1143,FALSE,TRUE,Normal,1959,1959,3145.466974,North_Ames
165500,-93.6177041,42.0430839,10552,OneFam,Average,6,1700,FALSE,TRUE,Normal,1959,1959,3197.840703,North_Ames
145000,-93.618626,42.044847,8400,OneFam,Above_Average,5,1314,FALSE,TRUE,Normal,1957,1957,3341.713308,North_Ames
148000,-93.616582,42.043969,8760,OneFam,Above_Average,6,1194,FALSE,TRUE,Normal,1959,1959,3147.820617,North_Ames
167500,-93.613301,42.044176,9300,OneFam,Average,6,1264,FALSE,TRUE,Normal,1960,1960,2909.102477,North_Ames
108538,-93.61513,42.044883,10725,OneFam,Average,6,1206,FALSE,TRUE,Normal,1959,1959,3079.573923,North_Ames
159500,-93.614241,42.0435919,10032,OneFam,Average,6,1580,FALSE,TRUE,Normal,1959,1959,2953.150277,North_Ames
108000,-93.613624,42.042308,8382,OneFam,Average,5,1337,TRUE,TRUE,Normal,1956,1956,2851.521299,North_Ames
135000,-93.615622,42.040396,10950,OneFam,Good,4,1064,FALSE,TRUE,Normal,1952,1952,2939.804657,North_Ames
122500,-93.617092,42.04137,10895,OneFam,Above_Average,5,972,FALSE,TRUE,Normal,1955,1955,3087.744996,North_Ames
105000,-93.615475,42.038443,7898,OneFam,Good,4,985,FALSE,TRUE,Normal,1920,1994,2874.636848,North_Ames
107500,-93.611642,42.038521,7200,OneFam,Good,5,827,FALSE,TRUE,Normal,1955,2007,2567.355848,North_Ames
144900,-93.618788,42.038249,10200,OneFam,Good,6,1086,FALSE,TRUE,Normal,1954,2003,3139.21883,North_Ames
129000,-93.6192014,42.0381282,5868,OneFam,Good,4,936,FALSE,TRUE,Normal,1956,2000,3170.40768,North_Ames
144000,-93.6116762,42.0372097,6979,Duplex,Average,4,1056,FALSE,TRUE,Normal,1980,1980,2539.153974,North_Ames
162000,-93.607275,42.040085,9830,OneFam,Good,7,1287,FALSE,TRUE,Normal,1959,2006,2272.382921,North_Ames
242000,-93.606905,42.041119,11275,OneFam,Good,11,2978,TRUE,TRUE,Normal,1967,2007,2286.624907,North_Ames
132000,-93.61061,42.035867,8064,OneFam,Very_Good,5,1224,TRUE,TRUE,Normal,1948,2004,2428.280152,North_Ames
154000,-93.605969,42.03594,7500,OneFam,Good,6,1246,FALSE,TRUE,Normal,1959,1994,2049.275039,North_Ames
166000,-93.609218,42.0347571,8520,OneFam,Below_Average,6,1385,TRUE,TRUE,Normal,1952,1952,2300.221134,North_Ames
134800,-93.607801,42.034848,7200,OneFam,Good,5,900,FALSE,TRUE,Normal,1951,2000,2184.280501,North_Ames
160000,-93.605943,42.034748,10000,OneFam,Above_Average,5,1116,FALSE,TRUE,Normal,1962,1962,2030.072028,North_Ames
148000,-93.606742,42.034851,7635,OneFam,Above_Average,6,1175,FALSE,TRUE,Normal,1960,1960,2097.036937,North_Ames
192000,-93.604835,42.036873,9760,OneFam,Good,7,1395,FALSE,TRUE,Normal,1963,1984,1976.728783,North_Ames
155000,-93.603705,42.037093,7700,OneFam,Average,7,1839,TRUE,TRUE,Normal,1966,1966,1891.302421,Old_Town
96500,-93.617135,42.032134,8800,OneFam,Good,7,1140,TRUE,FALSE,Normal,1910,2004,2948.797264,North_Ames
109500,-93.62024,42.031363,4485,OneFam,Good,5,936,FALSE,FALSE,Normal,1920,1950,3209.452834,North_Ames
115000,-93.620241,42.031381,8960,OneFam,Above_Average,5,1028,FALSE,TRUE,Normal,1927,1950,3209.424216,North_Ames
143000,-93.6179112,42.0303783,5805,OneFam,Good,6,1347,FALSE,TRUE,Normal,1957,1957,3025.407427,North_Ames
107400,-93.614002,42.033279,5790,OneFam,Above_Average,8,1605,TRUE,TRUE,Normal,1915,1950,2688.0711,North_Ames
80000,-93.615431,42.033644,4608,OneFam,Above_Average,4,747,FALSE,TRUE,Normal,1945,1950,2807.168521,North_Ames
130000,-93.608954,42.03128,5500,OneFam,Good,6,1316,FALSE,TRUE,Normal,1929,2001,2277.664799,North_Ames
119000,-93.6090761,42.0303113,6900,OneFam,Good,6,1251,TRUE,TRUE,Normal,1938,2000,2299.110165,North_Ames
129000,-93.610466,42.030383,11851,OneFam,Good,7,1633,TRUE,TRUE,Normal,1948,2009,2412.332096,North_Ames
100000,-93.610468,42.030467,8239,OneFam,Above_Average,6,1245,TRUE,TRUE,Normal,1920,1962,2411.399737,North_Ames
105900,-93.606789,42.030331,8520,OneFam,Very_Good,5,720,FALSE,TRUE,Normal,1928,2003,2111.124549,Old_Town
139000,-93.610588,42.029146,10800,OneFam,Above_Average,7,1652,TRUE,TRUE,Normal,1915,1950,2442.522776,Old_Town
240000,-93.61221,42.028145,9000,OneFam,Excellent,7,2268,TRUE,TRUE,Normal,1890,2002,2595.59355,Old_Town
149700,-93.608246,42.03005,7407,OneFam,Good,6,1236,FALSE,TRUE,Normal,1957,1996,2234.995754,Old_Town
125500,-93.607238,42.028164,7740,OneFam,Good,6,1363,TRUE,TRUE,Normal,1910,1950,2193.878919,Old_Town
122500,-93.608752,42.02916,11340,TwoFmCon,Above_Average,11,2290,TRUE,TRUE,Normal,1885,1950,2292.668823,Old_Town
140750,-93.607088,42.028165,10560,OneFam,Good,6,1470,TRUE,TRUE,Normal,1922,1994,2181.8061,Old_Town
128500,-93.625737,42.033642,5830,OneFam,Above_Average,7,1612,TRUE,TRUE,Normal,1950,1997,3660.348528,Old_Town
209500,-93.625825,42.030187,7793,OneFam,Good,8,2068,TRUE,TRUE,Normal,1922,2005,3680.026091,Old_Town
87000,-93.625586,42.033621,5000,OneFam,Good,4,765,FALSE,TRUE,Normal,1925,1950,3647.801069,Old_Town
128000,-93.622597,42.0336,6000,OneFam,Above_Average,6,1196,TRUE,TRUE,Normal,1940,1950,3400.29289,Old_Town
132000,-93.623523,42.033665,6360,OneFam,Above_Average,7,1453,TRUE,TRUE,Normal,1942,1950,3477.10712,Old_Town
139900,-93.622448,42.033631,6000,OneFam,Good,6,1416,TRUE,TRUE,Normal,1948,1950,3388.028746,Old_Town
123900,-93.623483,42.031556,6240,OneFam,Good,5,1040,TRUE,TRUE,Normal,1936,1980,3476.574613,Old_Town
138400,-93.621482,42.031337,6240,OneFam,Average,7,1536,TRUE,TRUE,Normal,1930,1950,3312.30457,Old_Town
109500,-93.620409,42.032302,6120,OneFam,Average,5,1068,FALSE,TRUE,Normal,1923,1950,3219.297098,Old_Town
140000,-93.62338,42.027986,10300,OneFam,Above_Average,9,1710,TRUE,TRUE,Normal,1921,1950,3508.592309,Old_Town
149500,-93.621674,42.028888,8094,OneFam,Average,9,1962,TRUE,TRUE,Normal,1915,1950,3354.120276,Old_Town
159900,-93.621835,42.028875,12900,OneFam,Very_Good,7,1560,TRUE,FALSE,Normal,1912,2009,3367.525911,Old_Town
122000,-93.621632,42.026914,3068,OneFam,Very_Good,6,1324,TRUE,TRUE,Normal,1920,1993,3387.396472,Old_Town
110000,-93.629495,42.020693,8472,Duplex,Average,5,816,FALSE,TRUE,Normal,1963,1963,4198.941838,Old_Town
55000,-93.626876,42.024141,5600,TwoFmCon,Average,7,1092,TRUE,FALSE,Normal,1930,1950,3880.278037,Old_Town
140000,-93.620386,42.026741,7630,TwoFmCon,Excellent,8,1812,TRUE,TRUE,Normal,1900,1996,3290.328239,Brookside
244400,-93.656231,42.033454,24090,OneFam,Good,10,2403,TRUE,TRUE,Normal,1940,1950,6184.968358,Brookside
173000,-93.655538,42.032432,15263,OneFam,Average,8,1675,FALSE,TRUE,Normal,1959,1959,6127.697671,Brookside
107500,-93.658265,42.028256,10632,OneFam,Fair,6,1224,TRUE,TRUE,Normal,1917,1950,6375.00384,Brookside
100000,-93.656924,42.026752,9900,TwoFmCon,Below_Average,6,1392,TRUE,FALSE,Normal,1915,1950,6280.591526,Brookside
95000,-93.658081,42.02616,6001,OneFam,Average,5,919,TRUE,TRUE,Normal,1940,1950,6383.323322,Brookside
114900,-93.655849,42.022825,6048,TwoFmCon,Good,7,1680,TRUE,TRUE,Normal,1910,1950,6256.021121,Brookside
94000,-93.672036,42.034451,6342,OneFam,Very_Good,6,1020,TRUE,FALSE,Normal,1875,1996,7495.250618,Brookside
136000,-93.671021,42.033386,10773,Duplex,Fair,8,1832,FALSE,FALSE,Normal,1967,1967,7409.609025,Brookside
136500,-93.671076,42.033387,10778,Duplex,Average,8,1768,FALSE,FALSE,Normal,1968,1968,7414.16399,Old_Town
131500,-93.673401,42.033008,11625,TwoFmCon,Below_Average,6,1039,FALSE,TRUE,Normal,1965,1965,7606.573496,Old_Town
121500,-93.672381,42.03237,11341,OneFam,Above_Average,5,1392,FALSE,TRUE,Normal,1957,1996,7522.445241,Old_Town
125000,-93.678141,42.029867,8521,OneFam,Average,5,912,FALSE,TRUE,Normal,1967,1967,8006.719976,Old_Town
154000,-93.676659,42.03069,8246,OneFam,Very_Good,6,1060,FALSE,TRUE,Normal,1968,2001,7880.588429,Old_Town
137900,-93.677992,42.029924,7800,OneFam,Good,5,892,FALSE,TRUE,Normal,1966,2008,7994.118402,Iowa_DOT_and_Rail_Road
158000,-93.676654,42.029731,9364,OneFam,Good,7,1352,TRUE,TRUE,Normal,1969,1969,7884.381853,Iowa_DOT_and_Rail_Road
137250,-93.676674,42.030519,7832,OneFam,Average,4,864,FALSE,TRUE,Normal,1968,1968,7882.474686,Old_Town
160250,-93.671511,42.031187,7424,Duplex,Average,5,1373,FALSE,TRUE,Normal,1978,1978,7452.8155,Clear_Creek
163000,-93.673565,42.03136,11227,OneFam,Average,7,1440,TRUE,TRUE,Normal,1968,1968,7622.359973,Clear_Creek
328000,-93.670503,42.030082,14000,OneFam,Average,7,2260,TRUE,TRUE,Normal,1996,1997,7373.764227,Clear_Creek
270000,-93.670114,42.03009,20062,OneFam,Good,4,1483,FALSE,TRUE,Normal,1977,2001,7341.542628,South_and_West_of_Iowa_State_University
85000,-93.663619,42.03387,9259,OneFam,Below_Average,4,756,FALSE,TRUE,Normal,1927,1950,6797.227973,South_and_West_of_Iowa_State_University
128000,-93.668378,42.032164,9600,OneFam,Good,4,1067,FALSE,TRUE,Normal,1950,1995,7191.238663,South_and_West_of_Iowa_State_University
260000,-93.667904,42.026547,23595,OneFam,Above_Average,4,1524,TRUE,TRUE,Normal,1979,1979,7187.279695,South_and_West_of_Iowa_State_University
